tas;	Year; Month; Country; ISO3; ISO2
23,9213;2005;7;BRA;;
25,4403;2005;8;BRA;;
25,2846;2005;9;BRA;;
26,8205;2005;10;BRA;;
26,7675;2005;11;BRA;;
25,9458;2005;12;BRA;;
26,5366;2006;1;BRA;;
26,275;2006;2;BRA;;
26,1044;2006;3;BRA;;
25,3955;2006;4;BRA;;
24,0456;2006;5;BRA;;
23,8359;2006;6;BRA;;
24,3867;2006;7;BRA;;
25,2383;2006;8;BRA;;
25,6825;2006;9;BRA;;
26,577;2006;10;BRA;;
26,0827;2006;11;BRA;;
26,471;2006;12;BRA;;
26,4631;2007;1;BRA;;
26,29;2007;2;BRA;;
26,1623;2007;3;BRA;;
25,9278;2007;4;BRA;;
24,7602;2007;5;BRA;;
24,2219;2007;6;BRA;;
23,949;2007;7;BRA;;
24,3313;2007;8;BRA;;
26,2888;2007;9;BRA;;
26,8244;2007;10;BRA;;
26,2846;2007;11;BRA;;
26,1926;2007;12;BRA;;
25,541;2008;1;BRA;;
25,7479;2008;2;BRA;;
25,6103;2008;3;BRA;;
25,177;2008;4;BRA;;
24,0721;2008;5;BRA;;
23,3609;2008;6;BRA;;
24,2316;2008;7;BRA;;
25,2559;2008;8;BRA;;
25,5867;2008;9;BRA;;
26,843;2008;10;BRA;;
26,1698;2008;11;BRA;;
26,0047;2008;12;BRA;;
25,786;2009;1;BRA;;
25,7919;2009;2;BRA;;
26,0315;2009;3;BRA;;
25,4516;2009;4;BRA;;
24,7343;2009;5;BRA;;
23,4664;2009;6;BRA;;
24,185;2009;7;BRA;;
25,1073;2009;8;BRA;;
26,3294;2009;9;BRA;;
26,5985;2009;10;BRA;;
27,164;2009;11;BRA;;
26,1718;2009;12;BRA;;
26,5247;2010;1;BRA;;
27,1162;2010;2;BRA;;
26,8646;2010;3;BRA;;
25,8815;2010;4;BRA;;
25,0834;2010;5;BRA;;
23,8137;2010;6;BRA;;
24,1657;2010;7;BRA;;
24,768;2010;8;BRA;;
26,6081;2010;9;BRA;;
26,642;2010;10;BRA;;
26,1814;2010;11;BRA;;
26,2464;2010;12;BRA;;
25,9;2011;1;BRA;;
25,9348;2011;2;BRA;;
25,6607;2011;3;BRA;;
25,6547;2011;4;BRA;;
24,772;2011;5;BRA;;
24,1581;2011;6;BRA;;
24,358;2011;7;BRA;;
25,2135;2011;8;BRA;;
26,2502;2011;9;BRA;;
26,2576;2011;10;BRA;;
26,0925;2011;11;BRA;;
26,1414;2011;12;BRA;;
25,6388;2012;1;BRA;;
